Workstream,Year,Worktype,Series,FTE Multiplier,FTEs,Selected Returns,Workstream(2),Filter By Year,Filter By Worktype,Filter By Series
FLD_EXAM,Y-2011,BRTF1041,S-0080,0.000001,0.000583869590518477,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0080
FLD_EXAM,Y-2011,BRTF1041,S-0201,0.000001,0.000583869590518477,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0201
FLD_EXAM,Y-2011,BRTF1041,S-0203,0.000001,0.000583869590518477,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0203
FLD_EXAM,Y-2011,BRTF1041,S-0260,0.000001,0.000583869590518477,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0260
FLD_EXAM,Y-2011,BRTF1041,S-0301,0.000058,0.0338644362500717,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0301
FLD_EXAM,Y-2011,BRTF1041,S-0303,0.000288,0.168154442069322,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0303
FLD_EXAM,Y-2011,BRTF1041,S-0304,0.000003,0.00175160877155543,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0304
FLD_EXAM,Y-2011,BRTF1041,S-0305,0.000012,0.00700643508622173,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0305
FLD_EXAM,Y-2011,BRTF1041,S-0313,0.000001,0.000583869590518477,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0313
FLD_EXAM,Y-2011,BRTF1041,S-0318,0.00212,1.23780353189917,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0318
FLD_EXAM,Y-2011,BRTF1041,S-0322,0.000005,0.00291934795259239,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0322
FLD_EXAM,Y-2011,BRTF1041,S-0326,0.000033,0.0192676964871098,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0326
FLD_EXAM,Y-2011,BRTF1041,S-0335,0.000034,0.0198515660776282,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0335
FLD_EXAM,Y-2011,BRTF1041,S-0340,0.000304,0.177496355517617,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0340
FLD_EXAM,Y-2011,BRTF1041,S-0343,0.000246,0.143631919267545,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0343
FLD_EXAM,Y-2011,BRTF1041,S-0344,0.000209,0.122028744418362,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0344
FLD_EXAM,Y-2011,BRTF1041,S-0356,0.000007,0.00408708713362934,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0356
FLD_EXAM,Y-2011,BRTF1041,S-0399,0.000035,0.0204354356681467,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0399
FLD_EXAM,Y-2011,BRTF1041,S-0501,0.000227,0.132538397047694,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0501
FLD_EXAM,Y-2011,BRTF1041,S-0503,0.00035,0.204354356681467,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0503
FLD_EXAM,Y-2011,BRTF1041,S-0512,0.013925,8.1303840479698,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0512
FLD_EXAM,Y-2011,BRTF1041,S-0560,0.000003,0.00175160877155543,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0560
FLD_EXAM,Y-2011,BRTF1041,S-0592,0.000459,0.267996142047981,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0592
FLD_EXAM,Y-2011,BRTF1041,S-0599,0.00005,0.0291934795259239,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0599
FLD_EXAM,Y-2011,BRTF1041,S-0905,0.000004,0.00233547836207391,583.869590518477,FLD_EXAM,Y-2011,BRTF1041,S-0905
