Category;Category:Subcategory;Category:Subcategory:Model;D4+Date;Orders;Sales
Accessories;Bike Racks;Hitch Rack - 4-Bike;7/25/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;7/27/2003;4;480
Accessories;Bike Racks;Hitch Rack - 4-Bike;7/29/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;7/31/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/11/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/12/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/14/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/15/2003;3;360
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/18/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/19/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/20/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/26/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/28/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/29/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/30/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;8/31/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/1/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/4/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/6/2003;3;360
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/7/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/8/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/9/2003;4;480
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/11/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/14/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/15/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/16/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/17/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/18/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/19/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/20/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/21/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/23/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/25/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/26/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/29/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;9/30/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/1/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/2/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/3/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/5/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/6/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/7/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/8/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/9/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/10/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/11/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/13/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/14/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/15/2003;3;360
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/21/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/22/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/25/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/26/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;10/30/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/1/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/2/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/4/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/6/2003;3;360
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/7/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/8/2003;2;240
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/16/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/17/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/18/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/20/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/21/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/22/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/23/2003;1;120
Accessories;Bike Racks;Hitch Rack - 4-Bike;11/25/2003;1;120
